一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-01-10,0
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-01-31,1
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-02-20,2
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-02-28,3
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-03-10,4
粮油,杂粮类,南方江米,2.6,3.2,3.8,斤,2023-03-20,5
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-03-31,6
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-04-10,7
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-04-30,8
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-05-10,9
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-05-20,10
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-05-31,11
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-06-10,12
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-06-20,13
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-06-30,14
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-07-10,15
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-07-20,16
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-07-31,17
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-08-10,18
粮油,杂粮类,南方江米,2.6,3.05,3.5,斤,2023-08-20,19
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-08-31,20
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-09-10,21
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-09-20,22
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-09-30,23
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-10-10,24
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-10-20,25
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-10-31,26
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-11-10,27
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-11-20,28
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-11-30,29
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-12-10,30
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-12-20,31
粮油,杂粮类,南方江米,2.7,3.0,3.3,斤,2023-12-31,32
,,,,2.9516098484848485,,,,33
,,,,2.945376559714795,,,,34
,,,,2.9391432709447414,,,,35
,,,,2.932909982174688,,,,36
,,,,2.9266766934046347,,,,37
,,,,2.920443404634581,,,,38
,,,,2.9142101158645275,,,,39
