一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,玫瑰香黑提,14.5,15.5,16.5,斤,2023-06-10,0
水果,进口果,玫瑰香黑提,14.5,15.5,16.5,斤,2023-05-31,1
水果,进口果,玫瑰香黑提,14.5,15.5,16.5,斤,2023-05-20,2
水果,进口果,玫瑰香黑提,14.5,15.5,16.5,斤,2023-05-10,3
水果,进口果,玫瑰香黑提,14.5,15.5,16.5,斤,2023-04-30,4
水果,进口果,玫瑰香黑提,16.0,17.0,18.0,斤,2023-04-10,5
水果,进口果,玫瑰香黑提,18.0,19.5,21.0,斤,2023-03-31,6
水果,进口果,玫瑰香黑提,19.0,20.5,22.0,斤,2023-03-20,7
水果,进口果,玫瑰香黑提,19.0,20.5,22.0,斤,2023-03-10,8
,,,,20.930555555555557,,,,9
,,,,21.672222222222224,,,,10
,,,,22.41388888888889,,,,11
,,,,23.15555555555556,,,,12
,,,,23.897222222222226,,,,13
,,,,24.63888888888889,,,,14
,,,,25.380555555555556,,,,15
