一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-12-31,0
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-12-20,1
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-12-10,2
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-11-30,3
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-11-20,4
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-11-10,5
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-10-31,6
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-10-20,7
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-10-10,8
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-09-30,9
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-09-20,10
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-09-10,11
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-08-31,12
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-08-20,13
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-08-10,14
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-07-31,15
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-07-20,16
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-07-10,17
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-06-30,18
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-06-20,19
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-06-10,20
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-05-31,21
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-05-20,22
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-05-10,23
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-04-30,24
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-04-10,25
粮油,杂粮类,高粱米,2.8,3.05,3.3,斤,2023-03-31,26
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-03-20,27
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-03-10,28
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-02-28,29
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-02-20,30
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-01-31,31
粮油,杂粮类,高粱米,3.0,3.25,3.5,斤,2023-01-10,32
,,,,3.1784090909090903,,,,33
,,,,3.183823529411764,,,,34
,,,,3.189237967914438,,,,35
,,,,3.194652406417112,,,,36
,,,,3.2000668449197858,,,,37
,,,,3.2054812834224595,,,,38
,,,,3.2108957219251333,,,,39
