ID,平均价
0,30.0
1,30.0
2,30.0
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30.0
9,30.5
10,30.5
11,30.5
12,30.5
13,30.5
14,30.5
15,30.5
16,30.5
17,30.5
18,31.0
19,31.0
20,31.0
21,31.0
22,31.5
23,31.5
24,31.5
25,31.5
26,31.5
27,31.5
28,31.5
29,31.5
30,31.5
31,31.5
32,31.5
33,31.5
34,31.5
35,31.5
36,31.5
37,31.5
38,31.5
39,31.5
40,31.5
41,31.5
42,31.5
43,31.5
44,31.5
45,31.5
46,31.5
47,31.5
48,31.5
49,31.5
50,32.0
51,32.0
52,32.0
53,32.0
54,32.0
55,32.0
56,32.0
57,32.0
58,32.0
59,32.0
60,32.0
61,32.0
62,32.0
63,32.0
64,32.0
65,32.0
66,32.0
67,32.5
68,32.5
69,32.5
70,32.5
71,32.5
72,32.5
73,32.5
74,32.5
75,32.5
76,32.5
77,32.5
78,33.0
79,33.0
80,33.0
81,33.0
82,33.0
83,33.0
84,33.0
85,33.0
86,33.0
87,33.0
88,33.0
89,33.5
90,33.75
91,33.75
92,33.75
93,34.0
94,34.0
95,33.75
96,33.75
97,33.75
98,33.75
99,33.75
100,33.75
101,33.75
102,33.0
103,33.0
104,32.75
105,32.0
106,32.0
107,30.0
108,30.0
109,30.0
110,30.0
111,30.0
112,30.0
113,30.0
114,30.0
115,30.0
116,30.0
117,29.5
118,29.5
119,29.5
120,29.5
121,29.5
122,29.5
123,29.5
124,29.5
125,30.0
126,30.0
127,30.0
128,30.0
129,30.0
130,30.0
131,30.0
132,30.0
133,30.0
134,30.0
135,30.0
136,30.0
137,30.0
138,30.0
139,29.75
140,29.5
141,29.5
142,29.5
143,29.5
144,30.0
145,29.5
146,29.0
147,28.5
148,28.0
149,27.75
150,27.75
151,27.5
152,27.0
153,27.0
154,26.75
155,26.5
156,26.5
157,26.5
158,26.5
159,26.5
160,26.5
161,26.5
162,26.0
163,26.0
164,26.0
165,26.0
166,26.0
167,26.0
168,26.0
169,26.5
170,26.5
171,26.5
172,26.5
173,26.5
174,26.5
175,26.5
176,26.5
177,26.5
178,26.5
179,26.5
180,26.5
181,26.5
182,27.0
183,27.0
184,27.0
185,27.0
186,27.0
187,27.5
188,27.5
189,27.5
190,27.5
191,27.5
192,27.5
193,27.5
194,27.5
195,27.5
196,27.5
197,28.5
198,28.5
199,28.5
200,28.5
201,28.5
202,28.5
203,28.5
204,28.5
205,28.5
206,28.5
207,28.5
208,28.5
209,29.0
210,29.5
211,29.5
212,29.5
213,29.5
214,29.5
215,30.0
216,30.0
217,30.0
218,30.0
219,30.0
220,30.0
221,30.0
222,30.5
223,30.5
224,30.5
225,30.5
226,30.5
227,30.5
228,30.5
229,30.5
230,30.5
231,30.5
232,30.5
233,30.5
234,31.0
235,31.0
236,31.5
237,31.5
238,31.5
239,31.5
240,31.5
241,31.5
242,31.5
243,31.5
244,31.5
245,32.0
246,32.0
247,32.0
248,32.0
249,32.0
250,32.0
251,32.0
252,32.0
253,32.0
254,32.25
255,32.25
256,32.25
257,32.25
258,32.25
259,32.25
260,32.25
261,32.25
262,32.25
263,32.25
264,32.25
265,32.25
266,32.25
267,32.5
268,32.5
269,32.5
270,33.0
271,33.0
272,33.0
273,33.0
274,33.0
275,33.0
276,33.0
277,33.0
278,33.0
279,33.0
280,33.0
281,33.0
282,33.0
283,33.0
284,33.0
285,33.0
286,33.0
287,33.0
288,33.0
289,33.0
290,33.0
291,33.0
292,33.0
293,33.0
294,33.0
295,33.25
296,33.25
297,33.25
298,33.25
299,33.25
300,33.25
301,33.25
302,33.25
303,33.25
304,33.25
305,33.25
306,33.25
307,33.5
308,34.0
309,34.0
310,34.0
311,34.0
312,34.0
313,34.0
314,34.0
315,34.0
316,34.0
317,34.0
318,34.0
319,34.0
320,34.0
321,34.0
322,34.0
323,34.0
324,34.0
325,34.0
326,34.0
327,34.0
328,33.0
329,33.0
330,33.0
331,33.0
332,33.0
333,33.0
334,33.0
335,33.0
336,33.0
337,33.0
338,33.0
339,33.0
340,33.5
341,32.5
342,33.0
343,33.0
344,33.0
345,33.0
346,33.0
347,33.0
348,33.0
349,33.0
350,33.0
351,33.0
352,33.0
353,33.0
354,33.0
355,33.0
356,33.0
357,33.0
358,33.0
359,33.25
360,32.963253021240234
361,32.963253021240234
362,32.963253021240234
363,32.963253021240234
364,32.963253021240234
365,32.963253021240234
366,32.963253021240234
