一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
蔬菜,特菜,孢子甘蓝,20.0,20.5,21.0,斤,2023-01-10
蔬菜,特菜,孢子甘蓝,23.0,23.5,24.0,斤,2023-01-31
蔬菜,特菜,孢子甘蓝,20.0,20.5,21.0,斤,2023-02-20
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-02-28
蔬菜,特菜,孢子甘蓝,14.0,14.5,15.0,斤,2023-03-10
蔬菜,特菜,孢子甘蓝,14.0,14.5,15.0,斤,2023-03-20
蔬菜,特菜,孢子甘蓝,14.0,14.5,15.0,斤,2023-03-31
蔬菜,特菜,孢子甘蓝,14.0,14.5,15.0,斤,2023-04-10
蔬菜,特菜,孢子甘蓝,25.0,25.5,26.0,斤,2023-04-30
蔬菜,特菜,孢子甘蓝,25.0,25.5,26.0,斤,2023-05-10
蔬菜,特菜,孢子甘蓝,25.0,25.5,26.0,斤,2023-05-20
蔬菜,特菜,孢子甘蓝,24.0,24.5,25.0,斤,2023-05-31
蔬菜,特菜,孢子甘蓝,24.0,24.5,25.0,斤,2023-06-10
蔬菜,特菜,孢子甘蓝,22.0,22.5,23.0,斤,2023-06-20
蔬菜,特菜,孢子甘蓝,20.0,20.5,21.0,斤,2023-06-30
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-07-10
蔬菜,特菜,孢子甘蓝,17.0,17.5,18.0,斤,2023-07-20
蔬菜,特菜,孢子甘蓝,18.0,18.5,19.0,斤,2023-07-31
蔬菜,特菜,孢子甘蓝,18.0,18.5,19.0,斤,2023-08-10
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-08-20
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-08-31
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-09-10
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-09-20
蔬菜,特菜,孢子甘蓝,15.0,16.0,17.0,斤,2023-09-30
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-10-10
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-10-20
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-10-31
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-11-10
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-11-20
蔬菜,特菜,孢子甘蓝,15.0,15.5,16.0,斤,2023-11-30
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-12-10
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-12-20
蔬菜,特菜,孢子甘蓝,16.0,16.5,17.0,斤,2023-12-31
