一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-08-31
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-09-10
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-09-20
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-09-30
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-10-10
粮油,米面类,福稻梁源长粒清香米,2.4,2.45,2.5,斤,2023-10-20
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-10-31
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-11-10
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-11-20
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-11-30
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-12-10
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-12-20
粮油,米面类,福稻梁源长粒清香米,2.45,2.48,2.5,斤,2023-12-31
