一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-08-20,0
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-08-10,1
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-31,2
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-20,3
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-10,4
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-30,5
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-20,6
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-10,7
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-31,8
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-20,9
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-10,10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-04-30,11
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-04-10,12
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-31,13
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-20,14
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-10,15
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-02-28,16
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-02-20,17
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-01-31,18
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-01-10,19
,,,,4.43,,,,20
,,,,4.43,,,,21
,,,,4.43,,,,22
,,,,4.43,,,,23
,,,,4.43,,,,24
,,,,4.43,,,,25
,,,,4.43,,,,26
