一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,山竹,20.0,23.0,26.0,斤,2023-12-31,0
水果,进口果,山竹,12.8,15.9,19.0,斤,2023-12-20,1
水果,进口果,山竹,12.8,15.9,19.0,斤,2023-12-10,2
水果,进口果,山竹,18.0,20.0,22.0,斤,2023-11-30,3
水果,进口果,山竹,20.0,22.75,25.5,斤,2023-11-20,4
水果,进口果,山竹,25.0,26.5,28.0,斤,2023-11-10,5
水果,进口果,山竹,17.5,21.65,25.8,斤,2023-10-31,6
水果,进口果,山竹,14.8,15.9,17.0,斤,2023-10-20,7
水果,进口果,山竹,12.0,14.5,17.0,斤,2023-10-10,8
水果,进口果,山竹,12.0,14.5,17.0,斤,2023-09-30,9
水果,进口果,山竹,8.6,10.3,12.0,斤,2023-09-20,10
水果,进口果,山竹,9.0,10.5,12.0,斤,2023-09-10,11
水果,进口果,山竹,9.5,12.5,15.5,斤,2023-08-31,12
水果,进口果,山竹,12.0,16.0,20.0,斤,2023-08-20,13
水果,进口果,山竹,17.5,21.25,25.0,斤,2023-08-10,14
水果,进口果,山竹,15.5,17.0,18.5,斤,2023-07-31,15
水果,进口果,山竹,17.5,18.25,19.0,斤,2023-07-20,16
水果,进口果,山竹,12.0,14.5,17.0,斤,2023-07-10,17
水果,进口果,山竹,15.0,17.5,20.0,斤,2023-06-30,18
水果,进口果,山竹,12.8,15.75,18.7,斤,2023-06-20,19
水果,进口果,山竹,11.5,14.0,16.5,斤,2023-06-10,20
水果,进口果,山竹,15.0,17.0,19.0,斤,2023-05-31,21
水果,进口果,山竹,25.0,30.0,35.0,斤,2023-05-20,22
水果,进口果,山竹,21.0,24.0,27.0,斤,2023-05-10,23
水果,进口果,山竹,15.0,19.0,23.0,斤,2023-04-30,24
水果,进口果,山竹,18.0,20.0,22.0,斤,2023-04-10,25
水果,进口果,山竹,21.0,23.0,25.0,斤,2023-03-31,26
水果,进口果,山竹,21.0,23.0,25.0,斤,2023-03-20,27
水果,进口果,山竹,22.0,24.5,27.0,斤,2023-03-10,28
水果,进口果,山竹,20.0,22.0,24.0,斤,2023-02-28,29
水果,进口果,山竹,20.0,22.0,24.0,斤,2023-02-20,30
水果,进口果,山竹,28.0,30.0,32.0,斤,2023-01-31,31
水果,进口果,山竹,30.0,32.0,34.0,斤,2023-01-10,32
,,,,18.50181466978529,,,,33
,,,,18.538558776379073,,,,34
,,,,18.575302882972853,,,,35
,,,,18.612046989566636,,,,36
,,,,18.64879109616042,,,,37
,,,,18.6855352027542,,,,38
,,,,18.722279309347982,,,,39
