一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,李子,23.0,25.5,28.0,斤,2023-12-31,0
水果,进口果,李子,23.0,25.5,28.0,斤,2023-12-20,1
水果,进口果,李子,23.0,27.5,32.0,斤,2023-12-10,2
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-30,3
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-20,4
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-10,5
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-31,6
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-20,7
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-10,8
水果,进口果,李子,23.0,27.5,32.0,斤,2023-09-30,9
,,,,27.5,,,,10
,,,,28.166666666666668,,,,11
,,,,28.833333333333336,,,,12
,,,,29.5,,,,13
,,,,30.166666666666668,,,,14
,,,,30.833333333333336,,,,15
,,,,31.5,,,,16
