一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-12-31,0
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-12-20,1
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-12-10,2
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-11-30,3
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-11-20,4
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-11-10,5
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-10-31,6
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-10-20,7
水果,干果,情人梅,13.0,14.0,15.0,斤,2023-10-10,8
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-09-30,9
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-09-20,10
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-09-10,11
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-08-31,12
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-08-20,13
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-08-10,14
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-07-31,15
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-07-20,16
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-07-10,17
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-06-30,18
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-06-20,19
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-06-10,20
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-05-31,21
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-05-20,22
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-05-10,23
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-04-30,24
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-04-10,25
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-03-31,26
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-03-20,27
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-03-10,28
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-02-28,29
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-02-20,30
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-01-31,31
水果,干果,情人梅,12.0,13.5,15.0,斤,2023-01-10,32
,,,,13.320241255157551,,,,33
,,,,13.294105279756117,,,,34
,,,,13.267969304354681,,,,35
,,,,13.241833328953247,,,,36
,,,,13.215697353551812,,,,37
,,,,13.189561378150376,,,,38
,,,,13.163425402748942,,,,39
