一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,龙豆,110.0,110.5,111.0,斤,2023-12-31,0
蔬菜,特菜,龙豆,110.0,110.5,111.0,斤,2023-12-20,1
蔬菜,特菜,龙豆,100.0,100.5,101.0,斤,2023-12-10,2
蔬菜,特菜,龙豆,89.0,89.5,90.0,斤,2023-11-30,3
蔬菜,特菜,龙豆,85.0,85.5,86.0,斤,2023-11-20,4
蔬菜,特菜,龙豆,90.0,90.5,91.0,斤,2023-11-10,5
蔬菜,特菜,龙豆,90.0,90.5,91.0,斤,2023-10-31,6
蔬菜,特菜,龙豆,85.0,85.5,86.0,斤,2023-10-20,7
蔬菜,特菜,龙豆,90.0,90.5,91.0,斤,2023-10-10,8
蔬菜,特菜,龙豆,90.0,90.5,91.0,斤,2023-10-10,9
蔬菜,特菜,龙豆,80.0,80.5,81.0,斤,2023-09-30,10
蔬菜,特菜,龙豆,70.0,70.5,71.0,斤,2023-09-20,11
蔬菜,特菜,龙豆,60.0,60.5,61.0,斤,2023-09-10,12
蔬菜,特菜,龙豆,60.0,60.5,61.0,斤,2023-08-31,13
蔬菜,特菜,龙豆,60.0,60.5,61.0,斤,2023-08-20,14
蔬菜,特菜,龙豆,60.0,60.5,61.0,斤,2023-08-10,15
蔬菜,特菜,龙豆,55.0,55.5,56.0,斤,2023-07-31,16
蔬菜,特菜,龙豆,59.0,59.5,60.0,斤,2023-07-20,17
蔬菜,特菜,龙豆,55.0,55.5,56.0,斤,2023-07-10,18
蔬菜,特菜,龙豆,60.0,60.5,61.0,斤,2023-06-30,19
蔬菜,特菜,龙豆,52.0,52.5,53.0,斤,2023-06-20,20
蔬菜,特菜,龙豆,59.0,59.5,60.0,斤,2023-06-10,21
蔬菜,特菜,龙豆,59.0,59.5,60.0,斤,2023-05-31,22
蔬菜,特菜,龙豆,54.0,54.5,55.0,斤,2023-05-20,23
蔬菜,特菜,龙豆,48.0,48.5,49.0,斤,2023-05-10,24
蔬菜,特菜,龙豆,50.0,50.5,51.0,斤,2023-04-30,25
蔬菜,特菜,龙豆,35.0,35.5,36.0,斤,2023-04-10,26
蔬菜,特菜,龙豆,49.0,49.5,50.0,斤,2023-03-31,27
蔬菜,特菜,龙豆,49.0,49.5,50.0,斤,2023-03-20,28
蔬菜,特菜,龙豆,44.0,44.5,45.0,斤,2023-03-10,29
蔬菜,特菜,龙豆,48.0,48.5,49.0,斤,2023-02-28,30
蔬菜,特菜,龙豆,48.0,48.5,49.0,斤,2023-02-20,31
蔬菜,特菜,龙豆,59.0,59.5,60.0,斤,2023-01-31,32
蔬菜,特菜,龙豆,55.0,55.5,56.0,斤,2023-01-10,33
,,,,38.03605405283257,,,,34
,,,,35.65106320475448,,,,35
,,,,33.266072356676375,,,,36
,,,,30.881081508598285,,,,37
,,,,28.49609066052018,,,,38
,,,,26.11109981244209,,,,39
,,,,23.726108964364002,,,,40
