一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,米面类,五得利标准粉,1.88,1.9,1.92,斤,2023-12-31
粮油,米面类,五得利标准粉,1.8,1.82,1.84,斤,2023-12-20
粮油,米面类,五得利标准粉,1.8,1.82,1.84,斤,2023-12-10
粮油,米面类,五得利标准粉,1.8,1.82,1.84,斤,2023-11-30
粮油,米面类,五得利标准粉,1.82,1.83,1.84,斤,2023-11-20
粮油,米面类,五得利标准粉,1.82,1.83,1.84,斤,2023-11-10
粮油,米面类,五得利标准粉,1.82,1.83,1.84,斤,2023-10-31
粮油,米面类,五得利标准粉,1.82,1.83,1.84,斤,2023-10-20
粮油,米面类,五得利标准粉,1.74,1.76,1.78,斤,2023-10-10
粮油,米面类,五得利标准粉,1.74,1.76,1.78,斤,2023-09-30
粮油,米面类,五得利标准粉,1.74,1.76,1.78,斤,2023-09-20
粮油,米面类,五得利标准粉,1.74,1.76,1.78,斤,2023-09-10
粮油,米面类,五得利标准粉,1.74,1.76,1.78,斤,2023-08-31
粮油,米面类,五得利标准粉,1.72,1.74,1.76,斤,2023-08-20
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-08-10
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-07-31
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-07-20
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-07-10
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-06-30
粮油,米面类,五得利标准粉,1.7,1.72,1.74,斤,2023-06-20
粮油,米面类,五得利标准粉,1.74,1.75,1.76,斤,2023-06-10
粮油,米面类,五得利标准粉,1.78,1.79,1.8,斤,2023-05-31
粮油,米面类,五得利标准粉,1.66,1.68,1.7,斤,2023-05-20
粮油,米面类,五得利标准粉,1.72,1.74,1.76,斤,2023-05-10
粮油,米面类,五得利标准粉,1.76,1.77,1.78,斤,2023-04-30
粮油,米面类,五得利标准粉,1.76,1.77,1.78,斤,2023-04-10
粮油,米面类,五得利标准粉,1.76,1.77,1.78,斤,2023-03-31
粮油,米面类,五得利标准粉,1.82,1.83,1.84,斤,2023-03-20
粮油,米面类,五得利标准粉,1.86,1.87,1.88,斤,2023-03-10
粮油,米面类,五得利标准粉,1.9,1.91,1.92,斤,2023-02-28
粮油,米面类,五得利标准粉,1.9,1.91,1.92,斤,2023-02-20
粮油,米面类,五得利标准粉,1.9,1.91,1.92,斤,2023-01-31
粮油,米面类,五得利标准粉,1.9,1.91,1.92,斤,2023-01-10
