一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2024-01-01,0
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-31,1
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-30,2
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-29,3
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-28,4
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-27,5
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-26,6
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-25,7
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-24,8
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-23,9
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-22,10
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-21,11
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-20,12
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-19,13
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-18,14
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-17,15
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-16,16
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-15,17
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-14,18
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-13,19
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-12,20
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-11,21
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-10,22
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-09,23
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-08,24
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-07,25
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-06,26
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-05,27
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-04,28
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-03,29
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-02,30
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-01,31
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-30,32
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-29,33
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-28,34
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-27,35
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-26,36
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-25,37
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-24,38
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-23,39
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-22,40
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-21,41
肉禽蛋,禽蛋类,白条兔,23.0,23.5,24.0,斤,2023-11-20,42
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-19,43
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-18,44
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-17,45
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-16,46
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-15,47
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-14,48
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-13,49
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-12,50
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-11,51
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-10,52
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-09,53
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-08,54
,,,,23.14237588652482,,,,55
,,,,23.161367419308146,,,,56
,,,,23.180358952091474,,,,57
,,,,23.1993504848748,,,,58
,,,,23.218342017658124,,,,59
,,,,23.237333550441452,,,,60
,,,,23.256325083224777,,,,61
