ID,平均价
0,3.0
1,3.25
2,3.25
3,3.25
4,3.75
5,3.75
6,3.75
7,3.75
8,3.75
9,3.75
10,3.75
11,3.75
12,3.5
13,3.5
14,3.5
15,3.5
16,3.5
17,3.5
18,3.5
19,3.5
20,3.5
21,3.5
22,3.5
23,3.75
24,3.25
25,3.25
26,3.05
27,2.75
28,2.75
29,2.75
30,2.75
31,2.75
32,2.25
33,2.25
34,2.25
35,2.25
36,2.25
37,1.9
38,1.9
39,2.25
40,1.75
41,1.75
42,1.75
43,2.25
44,2.25
45,2.25
46,2.25
47,2.25
48,2.25
49,2.25
50,2.25
51,2.25
52,2.25
53,2.25
54,2.25
55,2.25
56,2.75
57,2.75
58,3.25
59,3.25
60,3.25
61,3.75
62,3.75
63,3.75
64,3.75
65,3.75
66,3.75
67,3.75
68,3.75
69,3.75
70,3.75
71,3.75
72,4.0
73,3.75
74,4.25
75,4.25
76,3.5
77,3.5
78,3.5
79,2.75
80,2.75
81,2.75
82,2.75
83,2.75
84,3.0
85,3.25
86,3.25
87,3.75
88,3.75
89,3.75
90,3.75
91,3.75
92,4.25
93,4.25
94,4.25
95,4.25
96,4.25
97,4.25
98,4.25
99,4.25
100,4.25
101,4.25
102,6.0
103,6.0
104,6.0
105,6.0
106,6.0
107,5.249999999999999
108,3.25
109,3.25
110,2.75
111,3.25
112,3.25
113,3.25
114,3.25
115,2.75
116,3.25
117,3.25
118,2.65
119,2.25
120,2.25
121,3.25
122,2.25
123,1.6
124,1.6
125,1.65
126,1.65
127,1.75
128,1.75
129,2.5
130,1.75
131,1.75
132,2.25
133,2.25
134,2.25
135,2.25
136,2.25
137,1.75
138,1.75
139,2.25
140,2.25
141,2.25
142,1.75
143,1.75
144,1.75
145,1.75
146,1.75
147,1.75
148,2.25
149,2.25
150,2.25
151,2.25
152,2.15
153,2.9
154,2.9
155,2.9
156,2.9
157,3.25
158,2.75
159,2.75
160,2.75
161,2.75
162,2.75
163,2.75
164,2.75
165,2.75
166,3.0
167,3.25
168,3.5
169,3.5
170,3.75
171,3.75
172,3.75
173,3.5
174,3.1499999999999995
175,3.5
176,4.0
177,4.25
178,4.25
179,3.75
180,2.65
181,2.65
182,2.25
183,2.25
184,2.25
185,2.25
186,2.25
187,2.25
188,2.25
189,2.25
190,2.25
191,1.9
192,1.9
193,1.9
194,2.15
195,2.05
196,2.05
197,1.9
198,1.75
199,1.65
200,1.65
201,1.65
202,1.75
203,2.15
204,3.05
205,3.25
206,3.25
207,3.25
208,3.8999999999999995
209,3.5
210,3.5
211,3.5
212,3.5
213,3.8500000000000005
214,4.25
215,4.25
216,3.8999999999999995
217,4.4
218,4.4
219,5.249999999999999
220,5.249999999999999
221,5.6499999999999995
222,5.749999999999999
223,5.5
224,5.5
225,5.5
226,5.5
227,5.5
228,5.5
229,5.5
230,5.5
231,5.5
232,4.749999999999999
233,4.749999999999999
234,6.0
235,6.249999999999999
236,6.249999999999999
237,6.249999999999999
238,6.750000000000001
239,6.750000000000001
240,5.349999999999999
241,5.349999999999999
242,5.249999999999999
243,5.0
244,6.750000000000001
245,6.750000000000001
246,6.750000000000001
247,6.650000000000001
248,6.650000000000001
249,6.650000000000001
250,6.650000000000001
251,6.650000000000001
252,6.750000000000001
253,6.750000000000001
254,6.750000000000001
255,6.750000000000001
256,6.750000000000001
257,7.5
258,7.200000000000001
259,3.5872015953063965
