ID,平均价
0,35.0
1,35.0
2,33.0
3,32.0
4,33.0
5,32.0
6,33.0
7,32.0
8,33.0
9,32.0
10,34.5
11,33.0
12,35.0
13,35.0
14,38.0
15,36.0
16,38.5
17,38.0
18,35.0
19,33.0
20,35.0
21,33.0
22,33.0
23,32.0
24,32.0
25,30.0
26,30.0
27,30.0
28,30.0
29,30.0
30,30.0
31,30.0
32,28.0
33,27.0
34,26.0
35,25.0
36,27.0
37,26.0
38,28.0
39,27.0
40,28.0
41,27.0
42,28.0
43,27.0
44,27.0
45,26.0
46,27.0
47,26.0
48,25.0
49,23.999999999999996
50,25.0
51,23.999999999999996
52,25.0
53,23.999999999999996
54,25.0
55,23.999999999999996
56,25.0
57,23.0
58,23.999999999999996
59,23.0
60,23.999999999999996
61,23.0
62,25.0
63,23.0
64,23.999999999999996
65,22.5
66,23.999999999999996
67,22.5
68,24.5
69,22.5
70,24.5
71,22.5
72,24.5
73,22.5
74,24.5
75,22.5
76,23.5
77,22.5
78,23.5
79,22.5
80,23.5
81,22.0
82,23.5
83,22.0
84,25.0
85,23.0
86,25.0
87,23.0
88,25.0
89,23.999999999999996
90,23.999999999999996
91,21.5
92,23.999999999999996
93,21.5
94,23.999999999999996
95,21.5
96,23.999999999999996
97,21.5
98,24.5
99,23.0
100,24.5
101,23.0
102,24.5
103,23.0
104,25.0
105,23.0
106,25.0
107,23.0
108,25.0
109,23.0
110,25.0
111,23.0
112,25.0
113,23.999999999999996
114,25.0
115,23.999999999999996
116,26.5
117,24.5
118,26.5
119,24.5
120,27.0
121,24.5
122,29.0
123,25.0
124,29.0
125,25.0
126,27.0
127,25.0
128,27.0
129,25.0
130,27.0
131,25.0
132,27.0
133,25.0
134,27.0
135,25.0
136,27.0
137,25.0
138,27.0
139,25.0
140,27.0
141,25.0
142,27.0
143,22.5
144,27.0
145,22.5
146,27.0
147,22.5
148,27.0
149,22.5
150,27.0
151,22.5
152,27.0
153,23.999999999999996
154,27.0
155,23.999999999999996
156,27.0
157,23.999999999999996
158,30.0
159,28.0
160,30.0
161,28.0
162,27.5
163,23.999999999999996
164,28.0
165,25.0
166,25.0
167,23.5
168,25.0
169,23.5
170,25.0
171,23.5
172,25.0
173,23.5
174,25.0
175,23.5
176,25.0
177,23.5
178,26.5
179,24.5
180,27.0
181,25.0
182,28.0
183,25.0
184,28.0
185,25.0
186,28.0
187,25.0
188,28.0
189,25.0
190,28.0
191,25.0
192,28.0
193,25.0
194,28.0
195,25.0
196,28.0
197,25.0
198,28.0
199,25.0
200,28.0
201,25.0
202,28.0
203,26.0
204,27.5
205,25.5
206,27.5
207,25.5
208,27.5
209,25.5
210,27.5
211,25.5
212,26.5
213,23.999999999999996
214,27.5
215,25.5
216,27.5
217,25.5
218,27.5
219,25.0
220,28.0
221,25.0
222,28.0
223,25.0
224,28.0
225,25.0
226,28.0
227,25.0
228,29.0
229,25.5
230,29.0
231,25.5
232,29.0
233,25.5
234,29.0
235,25.5
236,28.5
237,25.5
238,28.5
239,25.5
240,28.5
241,25.5
242,28.5
243,25.5
244,28.5
245,26.0
246,29.5
247,26.0
248,29.5
249,26.0
250,29.5
251,26.0
252,29.5
253,26.0
254,28.5
255,25.5
256,28.5
257,25.5
258,29.0
259,25.5
260,29.0
261,26.0
262,28.5
263,25.5
264,28.0
265,25.5
266,28.0
267,25.5
268,28.0
269,25.5
270,26.1921329498291
